q,n,rho,v2,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
4,200,0.5,1.0,50000,stable,0.94534,0.001016585307782874,0,0.94534,-14.311888819728226,-2.1330565982958776,9.822747295563573,0.07619080654338636,0.037383292875954266,0.06917835725746549,6.147357901531544,0.0271,0.02756,0.93214,0.0011247668238350563,0.94546,0.0074352215503317165,0.0132,0.0009780257310963829
4,200,0.5,1e-06,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.246358907476582,-2.2065169254709893,9.559567985040147,0.0782480492881956,0.035690345284559,0.05668761035064209,6.05943052243502,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.00405190855431492,0.0181,0.0009933113979768212
4,200,0.5,1e-06,50000,stable,0.94534,0.001016585307782874,0,0.94534,-14.311888819728306,-2.1330565982959255,9.822747295563618,0.07619080654338976,0.0373832928759555,0.06917835725746871,6.147357901531544,0.0271,0.02756,0.93214,0.0011247668238350563,0.94546,0.007435221550335158,0.0132,0.0009780257310963829
4,200,0.9,1.0,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.246358907476418,-2.206516925470978,9.559567985040061,0.07824804928819036,0.035690345284560936,0.05668761035064601,6.05943052243502,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554309258,0.0181,0.0009933113979768212
4,200,0.9,1.0,50000,stable,0.93828,0.0010762029697041352,0,0.93828,-14.644069334597031,-2.1202008613372567,10.155320791139218,0.07894139827086616,0.03519714080078713,0.0778466928935811,6.338985078360149,0.0305,0.03122,0.9337,0.0011126932191758878,0.93816,0.01522203244195175,0.00458,0.0009599994291550802
4,200,0.9,1e-06,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.24635890747675,-2.2065169254707837,9.559567985040008,0.07824804928820007,0.03569034528456071,0.05668761035063188,6.05943052243502,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554327799,0.0181,0.0009933113979768212
4,200,0.9,1e-06,50000,stable,0.93828,0.0010762029697041352,0,0.93828,-14.644069334597091,-2.120200861337194,10.155320791139582,0.07894139827087031,0.035197140800788944,0.07784669289358306,6.338985078360148,0.0305,0.03122,0.9337,0.0011126932191758878,0.93816,0.015222032441952638,0.00458,0.0009599994291550802
4,200,0.99,1.0,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.24635890747629,-2.206516925470966,9.559567985040289,0.07824804928817515,0.035690345284554545,0.056687610350648766,6.059430522435021,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554286943,0.0181,0.0009933113979768212
4,200,0.99,1.0,50000,stable,0.93584,0.0010958420908141829,0,0.93584,-14.80558183181543,-2.130671270991734,10.255229312064635,0.08749070699088216,0.03898833725127304,0.08454068279577785,6.3959688108090145,0.03166,0.0325,0.9336,0.0011134724064834297,0.93586,0.01778584439229347,0.00224,0.0009570360319023141
4,200,0.99,1e-06,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.246358907477296,-2.2065169254708654,9.559567985040383,0.07824804928821584,0.03569034528456884,0.056687610350622794,6.059430522435021,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554357886,0.0181,0.0009933113979768212
