n,h_a,h_b,method,reps,limit_coverage,limit_mcse,limit_reps,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd
300,0.0,16.0,emp,50000,0.951275,0.00021529253209296418,1000000,0.94846,0.0009887732642016574,0,0.94846,-1.9910405058957321,-0.002786005206510913,1.955051603364833,0.012959076417029144,0.0055474236303373545,0.0113997991306652,1.005824005692506
300,0.0,16.0,G,50000,0.951275,0.00021529253209296418,1000000,0.95064,0.0009687475460614077,0,0.95064,-1.9694903556392178,-0.002787894571206774,1.9463384377704784,0.011881401279708739,0.005596784528676658,0.010292020889161091,0.9958712608764219
300,0.0,24.0,emp,50000,0.950255,0.00021741765101987472,1000000,0.94746,0.0009977930486829423,0,0.94746,-1.9995795831767051,-0.0027859984865183877,1.9641770821588311,0.013314477693244179,0.005547301971284369,0.011361914779932817,1.0092083872056574
300,0.0,24.0,G,50000,0.950255,0.00021741765101987472,1000000,0.94948,0.0009794664833469291,0,0.94948,-1.9777724751049726,-0.0027878945936576196,1.954676050201418,0.012165794757196733,0.005596799144031746,0.010419753989697238,0.9992208603822714
300,0.0,32.0,emp,50000,0.949912,0.0002181265510111046,1000000,0.94722,0.0009999427143591781,0,0.94722,-2.002536711216427,-0.0027859950799707465,1.9666576517111538,0.013523466262221057,0.005547244076707176,0.011281702992943699,1.0103958088910434
300,0.0,32.0,G,50000,0.949912,0.0002181265510111046,1000000,0.94924,0.000981666159139654,0,0.94924,-1.9806743930637933,-0.0027878946014628417,1.957711085446785,0.012264105281431273,0.005596804341198086,0.010472434708114552,1.0003977285067258
300,0.0,48.0,emp,50000,0.949657,0.00021865173758971144,1000000,0.94694,0.001002443378949654,0,0.94694,-2.004388580547644,-0.0027859916406493407,1.968656858313274,0.01372671527611279,0.005547188036993814,0.011183145518091492,1.0112437159266172
300,0.0,48.0,G,50000,0.949657,0.00021865173758971144,1000000,0.9489,0.000984771953296803,0,0.9489,-1.982868136749724,-0.0027878946070145102,1.9599815097673534,0.012326488760989632,0.005596808094164481,0.010512007762557268,1.0012397434562517
300,0.0,64.0,emp,50000,0.94957,0.0002188305625364062,1000000,0.94676,0.0010040468355609709,0,0.94676,-2.0052237525733076,-0.002785989908281326,1.9687368224324076,0.01384646105359227,0.005547160689048827,0.011176274796309114,1.0115398682663348
300,0.0,64.0,G,50000,0.94957,0.0002188305625364062,1000000,0.94888,0.0009849542689891755,0,0.94888,-1.9835772750299538,-0.002787894608951294,1.9606550976373072,0.01234720823981304,0.005596809419360502,0.010526320284373976,1.0015347167765574
300,0.0,96.0,emp,50000,0.949511,0.00021895173184745538,1000000,0.94678,0.0010038688320692104,0,0.94678,-2.005639427168118,-0.0027859881672157166,1.9695156921362977,0.013939791824419841,0.005547133776499923,0.011201541252681042,1.0117506392584945
300,0.0,96.0,G,50000,0.949511,0.00021895173184745538,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9840896083415605,-0.002787894610331859,1.9611364137366378,0.012361565261774416,0.005596810371485677,0.010536622450844371,1.001745494240598
300,0.0,128.0,emp,50000,0.949492,0.00021899073481770865,1000000,0.94674,0.0010042247995344466,0,0.94674,-2.0057806394323774,-0.00278598729336768,1.970175148399216,0.013967099291546308,0.005547120480572373,0.011206369821154255,1.0118239779029532
300,0.0,128.0,G,50000,0.949492,0.00021899073481770865,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9842598313720416,-0.0027878946108142863,1.9613206722902012,0.012366465983607836,0.005596810706280791,0.010540244031647977,1.0018192818797826
300,0.0,192.0,emp,50000,0.949472,0.0002190317812921221,1000000,0.94664,0.0010051140273620697,0,0.94664,-2.0059435037620057,-0.0027859864172806448,1.970800609590818,0.013985385683941611,0.005547107289986788,0.011215429680182572,1.0118759413722052
300,0.0,192.0,G,50000,0.949472,0.0002190317812921221,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9843817106459902,-0.0027878946111585257,1.9614521481615004,0.012369908316303472,0.005596810946145113,0.010542836152844539,1.0018719919364953
