law,n,reps,v_name,v,method,variance_ratio,Gaussian_coverage_benchmark,emp_minus_G,paired_mcse,fieller_factor,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd,se_q025,se_q50,se_q975,se_q025_mcse,se_q50_mcse,se_q975_mcse,se_sd,error_q025,error_q50,error_q975,error_q025_mcse,error_q50_mcse,error_q975_mcse,error_sd,enlarged_G_coverage
D,100,50000,n^-2,0.0001,G,2.9999999583333343,0.7421913627692314,0.19318,0.0017655854830174484,1.274268874687892,0.7339,0.0019763136896758064,0,0.7339,-3.47913161015057,0.00801436528809478,3.437435545473391,0.022008491283203584,0.009639326228201303,0.023870871715991098,1.7690061060715245,5.314104925941238,6.735381968116565,8.487806485382471,0.007339271065805712,0.005927653445594835,0.013382001161675556,0.8112118587548406,-23.478633861474414,0.05527014138574612,23.305613847304567,0.11152103648405798,0.06501332234370512,0.17465426016544258,11.936907316605499,0.84294
D,300,50000,1,1.0,emp,1.648648648648649,0.8731034368053889,0.07108,0.0011498604765719672,1.0709122024908506,0.94218,0.0010438088675614897,0,0.94218,-2.1485114217182733,-0.022563094059695137,1.8895168423765538,0.012991694245512922,0.0045826215989855975,0.010759969141031616,1.0302644479965175,0.071803144923911,0.08795950865731772,0.11188417835028866,8.139230446063843e-05,4.168949755544502e-05,0.00019421966925672093,0.01024171428517222,-0.17002822034592185,-0.0019979144287592633,0.1832911602755906,0.001066638619528342,0.0004019499647403284,0.001234062272083232,0.09052833127584545,0.89562
D,300,50000,1,1.0,G,1.648648648648649,0.8731034368053889,0.07108,0.0011498604765719672,1.0709122024908506,0.8711,0.0014985645798563372,0,0.8711,-2.7436449037210813,-0.02856450089884791,2.3411211883297476,0.01905075620470671,0.005757558405885805,0.01535462707308712,1.3007111951286285,0.06010540445124444,0.07005480151950996,0.08156699216542225,5.595052705566119e-05,2.466682606041742e-05,7.258245708703487e-05,0.005479090631981092,-0.17002822034592185,-0.0019979144287592633,0.1832911602755906,0.001066638619528342,0.0004019499647403284,0.001234062272083232,0.09052833127584545,0.89562
D,300,50000,n^-1/2,0.057735026918962574,emp,2.9862068965517246,0.7432876942310056,0.2016,0.001794216593464592,1.0709122024908506,0.94152,0.0010493816236241227,0,0.94152,-2.0464674532513465,-0.0008516431782517502,2.0351943586017036,0.013481197954885069,0.004409063763816349,0.01640564956166094,1.0396627237383649,0.21973237242734162,0.27708865038774155,0.369546263409644,0.00027197443691988425,0.00021295879004944407,0.0007009414883038135,0.03865471285334222,-0.5664081898698804,-0.00022619283254501026,0.5676682280251987,0.0028069986576990066,0.001234569238398004,0.003858612670613782,0.28935403124064113,0.7706
D,300,50000,n^-1/2,0.057735026918962574,G,2.9862068965517246,0.7432876942310056,0.2016,0.001794216593464592,1.0709122024908506,0.73992,0.0019618276866228595,0,0.73992,-3.430519032340844,-0.0013623019231506122,3.3972798551378265,0.021893821631705484,0.00754590412612203,0.025306344727108736,1.7442998219344874,0.14403985953098533,0.16551003329369102,0.19063440069697535,8.395199954155771e-05,8.319529250511759e-05,0.00018956451341748689,0.0119721990329624,-0.5664081898698804,-0.00022619283254501026,0.5676682280251987,0.0028069986576990066,0.001234569238398004,0.003858612670613782,0.28935403124064113,0.7706
D,300,50000,n^-1,0.0033333333333333335,emp,2.999953704775353,0.7421950319595825,0.20116,0.00179275134002107,1.0709122024908506,0.94078,0.001055585066207362,0,0.94078,-2.0429865719187066,0.00047547883674966445,2.040062407475876,0.012693796677710294,0.0038863972522207107,0.01743575921695171,1.0402519610123,0.9157880600120768,1.1518262163942783,1.5350179931156192,0.0011776813902850502,0.0009834192614069691,0.0030488469177008645,0.15962937120747667,-2.35773946462289,0.0005271725758319184,2.3528396511946905,0.012100962920912332,0.004453527185929258,0.017092695956119543,1.2027176070735395,0.76956
D,300,50000,n^-1,0.0033333333333333335,G,2.999953704775353,0.7421950319595825,0.20116,0.00179275134002107,1.0709122024908506,0.73962,0.0019625608556169665,0,0.73962,-3.4295452604749936,0.0007736858460454144,3.4359749886164783,0.022847590719672264,0.00654063936178909,0.028106340248052353,1.7508678424310051,0.598585760605644,0.6862767080213975,0.7880806701644958,0.00035376564951241534,0.00031062584864075156,0.000715122132456698,0.04855287287875467,-2.35773946462289,0.0005271725758319184,2.3528396511946905,0.012100962920912332,0.004453527185929258,0.017092695956119543,1.2027176070735395,0.76956
D,300,50000,n^-2,1.1111111111111112e-05,emp,2.999999999485597,0.7421913595047369,0.20126,0.0017930846469285887,1.0709122024908506,0.94082,0.0010552509426671934,0,0.94082,-2.043466974692659,0.00023248791615165869,2.0411113320560412,0.012676756501131361,0.003800444934148576,0.01750849514818429,1.0402792360448274,15.857073311158224,19.95261022216384,26.593385728077177,0.02223938099399968,0.01758488845067406,0.052946726273923786,2.763476806934454,-40.82427226125896,0.004625974166049497,40.75034120648125,0.2081831242284009,0.07641113689883378,0.29225330767478935,20.831303144811205,0.76942
D,300,50000,n^-2,1.1111111111111112e-05,G,2.999999999485597,0.7421913595047369,0.20126,0.0017930846469285887,1.0709122024908506,0.73956,0.0019627073464987084,0,0.73956,-3.432176006013452,0.0003886013501761122,3.436365216352657,0.02315118152252764,0.006455463667655571,0.028040473534927078,1.7510316126661964,10.366782228607798,11.886539667532128,13.643612658883566,0.007216515962650974,0.005008816337776802,0.013330147127063197,0.8393981543597,-40.82427226125896,0.004625974166049497,40.75034120648125,0.2081831242284009,0.07641113689883378,0.29225330767478935,20.831303144811205,0.76942
D,1000,50000,1,1.0,emp,1.648648648648649,0.8731034368053889,0.07682,0.0011909668845280297,1.0197790060028074,0.94828,0.0009904043780194027,0,0.94828,-2.025728540659551,-0.017916266873085826,1.9147203688470993,0.016485269559533243,0.006203077852139104,0.012057790660164474,1.010581261940706,0.04348719632777959,0.04895766955906597,0.05598846890215261,2.6419316585611234e-05,1.7992046637975986e-05,5.2962841506593464e-05,0.003179050510868119,-0.09426533035895365,-0.0008947514461367157,0.09932622617303842,0.000711328211749888,0.00030129478119539615,0.0007450411774996736,0.04949472928426164,0.87824
