experiment,r,n,rho,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
block,1,1000,0.9,50000,stable,0.85446,0.0015770739259781071,0,0.85446,-5.41163454501555,-0.04953439674312987,5.173769788633094,0.04347337322991238,0.01730426567747325,0.027624477728774445,2.6956350432745477,0.07114,0.0744,0.94882,0.0009855009649919172,0.85502,0.07288475525330829,-0.09436,0.0013073476932934957
block,1,1000,0.99,50000,SN,0.94976,0.0009768924444379734,0,0.94976,-4.0351608482732955,-0.0836201675197305,3.8173358891231106,0.028403699780121406,0.01248953657636031,0.023332392882553732,1.9986874305227922,0.02464,0.0256,0.94948,0.0009794664833469291,0.94998,0.005230149627513281,0.00028,0.0003898736616257126
block,1,1000,0.99,50000,stable,0.83686,0.0016524245241462618,0,0.83686,-5.666409451153365,-0.04462958666259807,5.399404983822637,0.03950351973034255,0.017440963289295404,0.03610657024252979,2.8195845612815966,0.07996,0.08318,0.94932,0.0009809336124325637,0.83692,0.08364633694602519,-0.11246,0.0014129030022962928
block,3,50,0.0,50000,SN,0.94892,0.000984589595719963,0,0.94892,-10.322286798881521,-3.07868186271186,3.808099829948458,0.03892510231236234,0.014541525956946428,0.03935436856106088,3.604767426926402,0.02574,0.02534,0.84406,0.0016224839993047697,0.9493,0.004169404405093169,0.10486,0.0016806380035218702
block,3,50,0.0,50000,stable,0.94954,0.0009789156082114531,0,0.94954,-8.842128425019391,-1.700611777403497,5.047878633255954,0.039699020545691695,0.017150432038643488,0.04317647872905066,3.5460418845710797,0.02562,0.02484,0.92406,0.001184678153761603,0.94936,0.005032294239211643,0.02548,0.0011305931880296893
block,3,50,0.5,50000,SN,0.94892,0.000984589595719963,0,0.94892,-10.322286798881521,-3.0786818627118637,3.8080998299484636,0.038925102312362264,0.01454152595694641,0.03935436856106074,3.6047674269264016,0.02574,0.02534,0.84406,0.0016224839993047697,0.9493,0.0041694044050936685,0.10486,0.0016806380035218702
block,3,50,0.5,50000,stable,0.91958,0.001216163012099941,0,0.91958,-9.609070780792173,-1.726266293758811,5.856977500706289,0.04723804936616942,0.019274750457902952,0.04576403344185667,3.945430415675338,0.03952,0.0409,0.92188,0.0012001438713754278,0.9195,0.02997203796459108,-0.0023,0.0011683841416375218
block,3,50,0.9,50000,SN,0.94892,0.000984589595719963,0,0.94892,-10.322286798881528,-3.0786818627118553,3.8080998299484943,0.03892510231236319,0.01454152595694547,0.03935436856106166,3.6047674269264016,0.02574,0.02534,0.84406,0.0016224839993047697,0.9493,0.0041694044050961665,0.10486,0.0016806380035218702
block,3,50,0.9,50000,stable,0.85584,0.0015708462330858482,0,0.85584,-11.26797817095053,-1.693090556306728,7.304919928773681,0.0626407710704593,0.021922072632081565,0.03659550550696462,4.7512334847031585,0.07066,0.0735,0.92746,0.0011599823136582733,0.8561,0.07230691072645923,-0.07162,0.0011531860685779097
block,3,50,0.99,50000,SN,0.94892,0.000984589595719963,0,0.94892,-10.322286798882349,-3.07868186271199,3.8080998299484805,0.038925102312366254,0.014541525956943907,0.03935436856105801,3.604767426926403,0.02574,0.02534,0.84406,0.0016224839993047697,0.9493,0.004169404405132471,0.10486,0.0016806380035218702
