replication,treatment_proxy,outcome_proxy,sandwich_F_D,proximal_estimate,design_rank
46,paco21,hema1,69.43135571406096,-1.2761903927942708,19
46,paco21,ph1,238.000938907177,-1.4996928627383452,19
46,pafi1,hema1,48.54206532248158,-1.5967178943080589,19
46,pafi1,ph1,11.111707980390316,-1.5135162736858911,19
47,paco21,hema1,47.1071149528464,-0.798895030759133,19
47,paco21,ph1,443.3619647287842,-1.048708312140879,19
47,pafi1,hema1,21.634291154733006,-1.2365027520060765,19
47,pafi1,ph1,1.5179138529155476,-0.886848060185659,19
48,paco21,hema1,41.49344028102751,-1.012536672389991,19
48,paco21,ph1,247.53939269651647,-1.3204374139318293,19
48,pafi1,hema1,25.76660654576881,-1.2927629735847184,19
48,pafi1,ph1,8.01094922592715,-1.316564362417815,19
49,paco21,hema1,60.38003048833304,-0.9643433992908239,19
49,paco21,ph1,419.7273145956082,-1.2339838086211565,19
49,pafi1,hema1,35.398422018067656,-1.2462091099977977,19
49,pafi1,ph1,10.19934295398164,-1.2452162820418329,19
50,paco21,hema1,31.67350523799602,-1.256225960510478,19
50,paco21,ph1,390.20413239290394,-1.4264299491556949,19
50,pafi1,hema1,18.595069478497383,-1.5489274425114252,19
50,pafi1,ph1,0.10930072795673285,-1.334469705325099,19
51,paco21,hema1,37.47455512947443,-1.6205949317669357,19
51,paco21,ph1,259.7819987636232,-1.6703935171752187,19
51,pafi1,hema1,18.922526148231544,-1.8940378856854343,19
51,pafi1,ph1,2.4185209550602975,-1.4096622557289427,19
52,paco21,hema1,47.587218509371944,-1.055634239849986,19
52,paco21,ph1,294.18049405227725,-1.3361685843000668,19
52,pafi1,hema1,16.898579124404115,-1.67113303077927,19
52,pafi1,ph1,0.01799427122625575,0.6733823405021299,19
53,paco21,hema1,40.28678322458986,-1.280357288822932,19
53,paco21,ph1,308.0209330360325,-1.5833887389268975,19
53,pafi1,hema1,31.27296261850029,-1.6770371309693313,19
53,pafi1,ph1,8.98366706881301,-1.5091374497357024,19
54,paco21,hema1,46.984149891665574,-1.0786051363853035,19
